SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
13.0,14.0,73.0,1.52,7.994793136971003,0.392,0.26,0.102,0.09179999999999999,0.4264150943396226,0.3902654867256638,3.6,40.0,1.0,0.08,0.5,7.41,0.9011627906976745,13.0,0.26,0,50,50,45,1000,142,3
13.0,14.0,73.0,1.52,7.994793136971003,0.392,0.26,0.102,0.09179999999999999,0.4264150943396226,0.3902654867256638,3.6,40.0,1.0,0.08,0.5,7.41,0.9011627906976745,13.0,0.26,50,100,50,45,1000,142,3
13.0,14.0,73.0,1.52,7.994793136971003,0.392,0.26,0.102,0.09179999999999999,0.4264150943396226,0.3902654867256638,3.6,40.0,1.0,0.08,0.5,7.41,0.9011627906976745,13.0,0.26,100,150,50,45,1000,142,3
10.2,20.8,69.0,1.5960000000000003,6.2599473697118375,0.3761090909090909,0.28600000000000003,0.1384,0.13228,0.3977358490566038,0.26766993033327063,3.76,40.0,1.0,0.0743645139781933,0.5,7.41,0.6569767441860467,14.2,0.28600000000000003,150,200,50,45,1000,142,3
6.0,31.0,63.0,1.71,3.657678718823087,0.3522727272727273,0.325,0.193,0.193,0.3547169811320755,0.08377659574468091,4.0,40.0,1.0,0.06591128494548323,0.5,7.41,0.29069767441860467,16.0,0.325,200,400,200,45,1000,142,3
6.0,31.0,63.0,1.71,3.657678718823087,0.3522727272727273,0.325,0.193,0.193,0.3547169811320755,0.08377659574468091,4.0,40.0,1.0,0.06591128494548323,0.5,7.41,0.29069767441860467,16.0,0.325,400,600,200,45,1000,142,3
6.0,29.2,64.8,1.71,3.7518708295209127,0.3522727272727273,0.3295,0.2002,0.2002,0.3547169811320755,0.07109042553191493,3.96625,40.0,1.0,0.057821174660795116,0.5,7.41,0.26453488372093026,15.1,0.3295,600,800,200,45,1000,142,3
6.0,27.0,67.0,1.71,3.8669945203738094,0.3522727272727273,0.335,0.209,0.209,0.3547169811320755,0.05558510638297875,3.925,40.0,1.0,0.047933262090620744,0.5,7.41,0.23255813953488375,14.0,0.335,800,1000,200,45,1000,142,3
9.28,24.54,66.18,1.5952,4.552089869527622,0.39575757575757575,0.30302,0.15816,0.15816,0.39803773584905655,0.23444235618597298,3.8635,40.0,1.0,0.03823048464184798,0.5,7.41,0.16104651162790698,12.36,0.30302,1000,1500,500,45,1000,142,3
10.0,24.0,66.0,1.57,4.7024766534882145,0.4053030303030303,0.29600000000000004,0.147,0.147,0.40754716981132066,0.27370370370370345,3.85,40.0,1.0,0.03610060666528811,0.5,7.409999999999999,0.14534883720930233,12.0,0.29600000000000004,1500,2000,500,45,1000,142,3
